xid,Project Name,Builder Name,Project Address,Property Type,Amenities,Amentity_count,rera_no,Project Area,Project Size-Tower Count,Project Size-Unit Count,Configs,Unit range
r356614,Panthaniwas Shantiniketan Phase IV,Sree Balaji,"Village Daranda, P.O: Daranda, P.S: Illambazar
Dist: Birbhum, Pin: 731236, West Bengal",Residential - Apartments,"Gated Community,Internal Street Lights,Vastu Compliant,Well-Maintained Internal Roads,Private Gardens/Balconies,Solar Lighting,Creche/Day care,Temple,Community Hall,Library,Pet Park,Co-Working Spaces,Outdoor Event Spaces,Carrom,Chess,Dart Board,Billiards,Pool Table,Foosball,Air Hockey,Cricket Pitch,Football Ground,Table Tennis,Volley Ball Court,Lawn Tennis Court,Badminton Court,Video Gaming Room,Massage Room,Yoga/Meditation Area,Acupressure Park,Jacuzzi,Spa,Sauna,Steam Room,Gymnasium,Landscape Garden,Open Space,Manicured Garden,Terrace Garden,Flower Garden,Fountain,Senior Citizen Sitout,Sit Out Area,Park,Cabana Sitting,EV Charging Stations,Car Parking,Music Room,Dance Studio,Art and Craft Studio,Club House,Multipurpose Hall,Children's Play Area,Sand Pit,Nature Trail,Swimming Pool,Multipurpose Court,Theatre,Banquet Hall,Sun Deck,Party Lawn,Gazebo,Barbecue,Amphitheatre,Jogging Track,Card Room,Indoor Games,Cycling Track,Art Gallery,Fire NOC,CCTV Camera Security,Security Cabin,Fire Fighting Systems,Smoke Detectors,Gas Leak Detectors,24x7 Security,Video Door Security,Intercom Facilities,Signage and Road Markings,Car-Free Zones,Ambulance Service,Panic Buttons in Apartments,24/7 Power Backup,Waste Management,Garbage Disposal,Sewage Treatment Plant,Garbage Chute,Rain Water Harvesting,Water Treatment Plant,Lounge,Business Lounge,Conference Room,Restaurant,Cafeteria,Wi-Fi Connectivity,Laundry,Salon,Milk Booth,Letter Box,Name Plates,Shopping Centre,Grocery Shop,Bus Shelter,Toilet for drivers,Concierge Service,Lift(s),Property Staff,Entrance Lobby,Intercom,ATM,Maintenance Staff,DG Availability,Power Back up Lift,Underground Electric Cabling",110,HIRA/P/BIR/2020/000920,Not found,4,210,"1 BHK,2 BHK,3 BHK",550~onwards sq.ft
r356764,ANANDVAN,RAVI MAHAJAN BUILDERS & DEVELOPERS,"DWARKA - KATHE GALLI, NASHIK",Residential - Apartments,"Gated Community,Car Parking,Children's Play Area,Club House,Party Lawn,Badminton Court,Basketball Court,Skating Rink,Indoor Games,CCTV Camera Security,Security Cabin,Fire Fighting Systems,24/7 Power Backup,Rain Water Harvesting,Multipurpose Court,Gymnasium,Landscape Garden",17,P51600023994,Not found,5,Not found,"2BHK,3BHK",None
r366772,NORTHSTAR PARK AVE,NORTHSTAR HOMES,"Madhurawada, Vizag",Residential - Apartments,"Gated Community,Vastu Compliant,Children's Play Area,Badminton Court,Swimming Pool,Jogging Track,Club House,Car Parking,24/7 Water Supply,24/7 Power Backup,Lift(s),Sewage Treatment Plant,CCTV Camera Security,24x7 Security,Landscape Garden,Park",16,Not found,2.58 Acre,2,243,"2 BHK,2.5 BHK,3 BHK",1210~2442 Sft
r368997,PATHOS,PATHIOS REALWAYS PVT. LTD.,"K.B.N Plaza, 3rd Floor, B-38/2-A, 63-65-N, Gopal Vihar Colony, Rathyatra Mahmoorganj Road, Near AGR Showroom, Varanasi - 221010 (U.P.)","Residential - Duplexes, Residential - Bungalows, Plot","Gated Community,Temple,Community Hall,Children's Play Area,Internal Street Lights",5,RERA Approved,Not found,Not found,Not found,"Duplex,Bungalow,Plot",None
r369056,AV Rivera Hill View Bungalow,Not found,"C-14, RIVERA HILL VIEW BUNGALOW, CHUNNA BHATTI EXTENSION, BEHIND EXCELLENCE COLLEGE, BHOPAL",Residential - Single-family homes,"Earthquake Resistant,Vaastu Compliant,Children's Play Area,Car Parking,24x7 Water Supply,Gated Community,24x7 Security",7,Not found,Not found,Not found,Not found,"3BHK Duplexes,4BHK Duplexes",600~1500 sq.ft
r369662,RUDRA ENCLAVE,BALAJI INFRASTRUCTURE,"Near Rajlaxmi Palace,
Next to Maruti Heights,
Near Channi Lake
Channi - Dumad Road,
Vadodara",Residential - Apartments,"Anti-termite Treatment,Gated Community,Children's Play Area,Indoor Games,Gymnasium,Landscape Garden,Senior Citizen Sitout,Car Parking,Club House,Rain Water Harvesting,Swimming Pool,Solar Panel,Paved Compound",13,PR/GJ/VADODARA/VADODARA/Others/MAA07470/170920,Not found,Not found,Not found,"2 BHK,3 BHK",110.43~565.17 sq.ft.
r370337,Aamra Greens,Vasundhara,Bhopal,Residential - Duplexes & Single units,"Children's Play Area,Open Space,Waste Management",3,Not found,Not found,Not found,Not found,"Duplexes,Singlexes",None
r371095,W BY DSR,DSR Builders & Developers,"Beside Chirec International School, Botanical Garden Road, Kondapur, Hyderabad, Telangana 500084",Residential - Apartments,"Gated Community,Vastu Compliant,Creche/Day care,Temple,Community Hall,Library,Pet Park,Co-Working Spaces,Carrom,Chess,Dart Board,Billiards,Pool Table,Foosball,Air Hockey,Cricket Pitch,Table Tennis,Volley Ball Court,Basketball Court,Skating Rink,Squash Court,Badminton Court,Video Gaming Room,Massage Room,Yoga/Meditation Area,Acupressure Park,Spa,Sauna,Steam Room,Gymnasium,Landscape Garden,Manicured Garden,Flower Garden,Fountain,Park,EV Charging Stations,Car Parking,Club House,Multipurpose Hall,Children's Play Area,Sand Pit,Swimming Pool,Multipurpose Court,Theatre,Banquet Hall,Party Lawn,Gazebo,Amphitheatre,Jogging Track,Mini Theatre,Card Room,Indoor Games,Cycling Track,Gaming Zones,CCTV Camera Security,Security Cabin,Fire Fighting Systems,Smoke Detectors,Gas Leak Detectors,24x7 Security,Video Door Security,Intercom Facilities,Ambulance Service,Panic Buttons in Apartments,Rooftop Lounge,Lounge,Conference Room,Waiting Lounge,Food Court,Restaurant,Cafeteria,Smart Home Automation,Piped Gas,RO System,Wi-Fi Connectivity,Laundry,Salon,Automated Car Wash,Car wash area,Shopping Centre,Grocery Shop,Bus Shelter,Concierge Service,Lift(s),Property Staff,Entrance Lobby,Intercom,ATM,Maintenance Staff,DG Availability,24/7 Power Backup,Underground Electric Cabling,Centralized Air Conditioning,Air Purification Systems,Noise Insulation in Apartments,Plumber/Electrician on Call,Braille Signage,Waste Management,Garbage Disposal,Sewage Treatment Plant,Garbage Chute,Waste Segregation and Disposal,Recycling Facilities,Organic Waste Converter,Composting Facilities,24/7 Water Supply,Water Softener Plant,Rain Water Harvesting,Borewell Water Supply,Municipal Water Supply,Water Treatment Plant",100,P02400002277,Not found,Not found,Not found,None,None
r371322,Aruma Park,ARUMA REALTY,"Aruma Park, Next to Silchar Company
Near Architect Collage, Bill, Vadodara - 391410",Residential - Apartments,"Children's Play Area,Landscape Garden,Car Parking,Lift(s)",4,PR/GJ/VADODARA/VADODARA/Others/MAA07621/031120,Not found,Not found,Not found,"2BHK,3BHK",730~1025 sq. ft.
r371348,Tirath Sunshine,TIRATH PROJECT,Rajarhat,Residential - Apartments,"Gymnasium,Community Hall,Jogging Track,Children's Play Area,Swimming Pool",5,WBHIRA/P/NOR/2020/001103,Not found,3,Not found,"2BHK,3BHK",554~1342 sq.ft
r371427,Milestone Township,Not found,"Near Saccha Sauda Dera Ashram, Balita-Sinta 60' Bundi Road, Kota","Residential - Plots, Villas","Gated Community,Children's Play Area,Jogging Track,Landscape Garden,Manicured Garden,Internal Street Lights,24x7 Security",7,Not found,Not found,Not found,Not found,"Plots,Villas",1125.00 sq.ft
r371535,Bren Zahara,BREN,Located off Sarjapur Road,Residential - Apartments,"Co-Working Spaces,Gymnasium,Jogging Track,Badminton Court,Banquet Hall,Pet Park,Spa,Creche/Day care,Salon,Party Lawn,Barbecue,Amphitheatre,Swimming Pool,Reflexology Park,Steam Room,Yoga/Meditation Area,Car Parking,MultiGym,Departmental Store,Squash Court",20,PRM/KA/RERA/1251/446/PR/201106/003684,4.975 acres,4,Not found,3BHK,1668~1792 sq ft
r373276,Urban Tree Pearl County,Urban Tree,"Nehruchery, Avadi",Residential - Plots,"24x7 Security,Internal Street Lights,Landscape Garden,Gated Community,Solar Lighting,Paved Compound",6,TN/02/LAYOUT/0003/2021 DATED 12.01.2021,Not found,Not found,Not found,None,770 sq. ft.~1486 sq. ft.
r373643,VG Homes,VG Developers,"Sy. No. 119 / P & 150 / C, Behind Pearson School, Kompally (V), Dundigal-Gandimaisamma (M), Medchal-Malkajgiri (D), 500014",Residential - Apartments,"Gated Community,Vastu Compliant,Children's Play Area,Swimming Pool,CCTV Camera Security,24x7 Security,Rain Water Harvesting,Sewage Treatment Plant,Car Parking,Gymnasium",10,P02200002433,Not found,4,316,"2BHK,3BHK",1100~1500 sq.ft
r375325,Manglam Rambagh,Manglam Build-Developers Limited,"Jaipur - Delhi Highway, Near Grand Heera Resort, Behror, Rajasthan",Residential & Commercial,"Gated Community,Landscape Garden,Children's Play Area,Club House,Swimming Pool,Gymnasium,Mini Theatre",7,RAJ/P 2021/1460,80 acres,Not found,Not found,None,None
r375491,RUDRA HEIGHTS,Charbhuja Developers,"Opp. Vrundalaya Residency,Nr. Amantran Bhuvan,Chhani - Sama Canal Rd. Sama, Vadodara.",Residential - Apartments,"Anti-termite Treatment,Gated Community,Paved Compound,Solar Panel,Children's Play Area,Indoor Games,Rain Water Harvesting,Gymnasium,Club House,Amphitheatre,Landscaped Garden",11,PR/GJ/VADODARA/VADODARA/Others/MAA08140/030321,Not found,Not found,Not found,"2BHK,3BHK",None
r375688,Celebration,Kubergreen Infra LLP,"Celebration, Opp Everest Experia, Behind Bright School(CBSC), off Bhayli Vasna Road, Vadodara.",Residential - Apartments & Commercial - Retail spaces,"Anti-termite Treatment,Children's Play Area,Community Hall,Letter Box,Vastu Compliant",5,PR/GJ/VADODARA/VADODARA/Others/MAA08694/300621,Not found,Not found,Not found,3BHK,838.00~1552.00 sq ft
r375777,The Mateo,PALAL REALTY,"Kakkanad Civil Station, Kakkanad, Kochi - 682019, Kerala",Residential - Villas,"Rain Water Harvesting,Car Parking,Club House",3,K-RERA/PRJ/111/2021,3 acres,Not found,29,None,None
r375824,Rashmi Lifestyle Phase II,Lifestyle Properties Pvt Ltd,"Mouza - Kalarahanga, P.S. - Mancheswar, Bhubaneswar, Dist - Khordha, Odisha",Residential - Apartments,"Gated Community,24x7 Security,Intercom Facilities,Lift(s),Sewage Treatment Plant,24/7 Water Supply,Rain Water Harvesting,Landscape Garden,Children's Play Area,Swimming Pool,Gymnasium,Club House,Multipurpose Hall,24/7 Power Backup",16,RP/19/2021/00616,Not found,Not found,90,"2 BHK,3 BHK",1208~1948 sqft
r376614,BHUVANA EMERALD,Not found,"No: 497, JYOTHI NAGAR, (Nxt Cut.off) PMG METRIC SCHOOL, PALLADAM MAIN ROAD, OTHAKALMANDAPAM, COIMBATORE - 641050",Residential - Villas,Not found,Not found,Not found,Not found,Not found,Not found,"2 BHK,3 BHK",597~1339 Sq.ft
r377210,Rudraksh Skyline,SHIV INFRA,"Nr. Neelam Party Plot, B/S Aditya Edifice, Chhani Canal Road, Vadodara.",Residential - Apartments,"Gymnasium,Children's Play Area,Landscape Garden,Indoor Games,Open Space,Car Parking,Lift(s),24/7 Water Supply,Internal Street Lights",9,PR/GJ/VADODARA/VADODARA/Others/RAA08352/270421,Not found,5,Not found,"2BHK,3BHK",673.00~909.00 sq.ft.
r378725,PREMIUM BUILDER FLOORS,RKPS,"A-34, sector-85, BPTP, Nehar par Faridabad, Haryana 121004",Residential - Apartments,"Earthquake Resistant,24x7 Security,Gated Community",3,Not found,Not found,Not found,Not found,"3 BHK,4 BHK",None
r378779,RANKA COUNTRYSIDE,RANKA GROUP,"8/1 & 8/2, Giddenahalli, Jigani Hobli, Anekal Taluk, Bengaluru Urban – 560105",Residential - Villas,"Club House,Multipurpose Hall,Jogging Track,Gazebo",4,PRM/KA/RERA/1251/308/PR/210705/004183,6 ACRES,Not found,80,3.5 BHK,1200 sqft
r378938,Lalitha Divine County,LALITHA CONSTRUCTION AND DEVELOPERS,"Sy. No: 276/B, 277, 314, 315, Opp Happy homes, Sai villas Road, Ameenpur village, Municipality & Mandal, Sangareddy District, Hyderabad, Telangana 502032",Residential - Apartments,"Children's Play Area,Multipurpose Hall,Gymnasium,Swimming Pool,Park,Clinic,Indoor Games,Sewage Treatment Plant,Power Back up,Car Parking,Lift(s)",11,Not found,2.18 Acres,4,220,"2BHK,3BHK",1105~1535 sqft
r38004,ZOA,Riddhi Siddhi Developers,"Sr. No. 36 ( Part ), Zoa, Keshav Nagar, Near Renuka Mata Temple, Mundhawa, Pune 411 036",Residential - Apartments,"Vastu Compliant,Society Office,Gymnasium,Landscape Garden,Amphitheatre,Sewage Treatment Plant,Organic Waste Converter,24x7 Security,Club House,Swimming Pool,Children's Play Area,Indoor Games,Carrom,Pool Table",15,P52100056199,Not found,Not found,Not found,2 BHK,724.19~775.99 sq.ft
r380112,PLATINUM greens Opulence,Platinum Realty Builders,"Platinum Greens, Near Parshvanath City, Iskcon Temple Road, Mansarovar Extention, Jaipur (Raj.)",Residential - Condominiums,"Gated Community,Vastu Compliant,Temple,Community Hall,Gymnasium,Landscape Garden,Park,Children's Play Area,Swimming Pool,Banquet Hall,Co-Working Spaces,24x7 Security,Lounge,Rain Water Harvesting,Society Office,Car Parking",16,RAJ/P/2023/2875,70% OPEN SPACE,Not found,Not found,"3 BHK,4 BHK",1532.00~2792.00 sq.ft
r380334,Merlin Oikyo,MERLIN GROUP,"Baruipur Madarhat road, Paikpara, P.S. Baruipur, Baruipur - 743610, South 24 Parganas",Residential - Apartments,"Gated Community,Children's Play Area,Swimming Pool,Jogging Track,Badminton Court,Carrom,Private Gardens/Balconies,CCTV Camera Security,24x7 Security,Landscape Garden,Fire Fighting Systems,Community Hall,Intercom Facilities,Park",14,WBRERA/P/SOU/2023/000306,Not found,Not found,Not found,"1BHK,2BHK,3BHK",350~831 sq. ft
r380529,GREENFIELD Bougain Villea,GREENFIELD HOUSING INDIA,Kalapatti,Residential - Apartments,"Gated Community,Vastu Compliant,Car Parking,STP,24/7 Water Supply",5,Not found,Not found,Not found,Not found,2BHK,555~786.23 sq.ft
r382456,ALTURA,Land Trades Builders & Developers,"Bendoorwell, Mangaluru",Residential - Apartments,"Gated Community,Swimming Pool,Gymnasium,Indoor Games,Banquet Hall,Children's Play Area,24/7 Water Supply,Rain Water Harvesting,Waste Management,Sewage Treatment Plant,Power Back up Lift,Intercom,CCTV Camera Security,24x7 Security,Club House,Yoga/Meditation Area,Jacuzzi,Sauna,Steam Room,Landscape Garden,Car Parking,Fire Fighting Systems,Lift(s)",23,Not found,Not found,Not found,Not found,"3 BHK,4 BHK,2 BHK",1123.00~2645.00 sq.ft
r382629,Vraj Landmark,Krrish Group Land Developers & Builders,"Beside VIBGYOR School, Near Market Yard, Nashik","Residential - Apartments, Commercial - Retail spaces, Commercial - Office buildings","Earthquake Resistant,Community Hall,Temple,Jogging Track,Children's Play Area,CCTV Camera Security,Lift(s)",7,P51600027077,Not found,Not found,Not found,"2BHK,3BHK",None
r382991,Nandanam Green Woods,Salim Associates,"Nandanam Green Woods, Viyyur, Pudukkad, Kerala 680010, India",Residential - Apartments,"Badminton Court,Children's Play Area,Home Theatre,Swimming Pool,Car Parking,Open Space,Barbecue,Jogging Track,Lounge,Steam Room,Gymnasium,Yoga/Meditation Area,24x7 Security,Waste Management,Rain Water Harvesting,Intercom,Lift(s),Car wash area,Landscape Garden,Gated Community,Private Gardens/Balconies,Party Lawn",22,Not found,47 CENTS,Not found,52,"3BHK,2BHK",1046~1426 sq.ft
r383013,Shree Siddheshwar Hazelwood,N K INFRASTRUCTURE,"Shree Siddheshwar Hazelwood,
Opp. Cygnus School, Motnath Mahadev Road,
Harni, Vadodara.",Commercial - Retail spaces,"Earthquake Resistant,Car Parking,Club House,Children's Play Area,Swimming Pool,Jogging Track,Fire Fighting Systems,24x7 Security,Intercom Facilities,Gymnasium,Landscape Garden,Gated Community",12,Not found,Not found,Not found,Not found,"3BHK,4B2HK",1230~1755 sq.ft
r383453,ONE 35,ALOK DEVELOPERS,"ONE 35, Beside Ashray Atulyam Opp. DPS Nilkanth Road, Shilaj, Ahmedabad 380059, Gujarat",Residential - Apartments,"Earthquake Resistant,Gymnasium,Children's Play Area,Senior Citizen Sitout,Landscaped Garden,Gazebo,Indoor Games,Society Office,Car wash area,Car Parking,24/7 Security,Solar Panel,Power Back up,Lift(s)",14,Not found,Not found,Not found,Not found,3BHK,500~781 sq.ft
r383497,Oakshir Villas,Hallmark Hampton Projects,@ TUKKUGUDA,Residential - Villas,"Gated Community,Club House,Swimming Pool,Landscape Garden,Indoor Games,Children's Play Area,Walking Track,Intercom Facilities,Sewage Treatment Plant,Rain Water Harvesting,24x7 Security,CCTV Camera Security,Boom Barrier",13,P02400004023,Not found,Not found,Not found,None,180~200 Sq.yds
r383514,Bansari Opulence,BLISS PROJECTS LLP,"Gandhinagar, Gujarat",Residential - Apartments,"Gated Community,Vastu Compliant,Solar Panel,Creche/Day care,Temple,Community Hall,Library,Pet Park,Co-Working Spaces,Outdoor Event Spaces,Carrom,Chess,Dart Board,Billiards,Pool Table,Foosball,Cricket Pitch,Football Ground,Table Tennis,Volley Ball Court,Lawn Tennis Court,Beach Volley Ball Court,Basketball Court,Skating Rink,Squash Court,Badminton Court,Rock Climbing Wall,Futsal,Video Gaming Room,Massage Room,Yoga/Meditation Area,Acupressure Park,Jacuzzi,Spa,Ayurvedic Centre,Aerobics Centre,Doctor on Call,Reflexology Park,Sauna,Clinic,Steam Room,Gymnasium,Pilates studios,Medical Centre,Landscape Garden,Open Space,Manicured Garden,Terrace Garden,Flower Garden,Fountain,Natural Pond,Pedestrian-Friendly Zones,Archery Range,Water Park/Slides,Community Garden/Urban Farming,Green Wall (Vertical Gardens),Forest Trail,Senior Citizen Sitout,Sit Out Area,Park,Cabana Sitting,EV Charging Stations,Car Parking,Music Room,Dance Studio,Art and Craft Studio,Club House,Multipurpose Hall,Children's Play Area,Sand Pit,Nature Trail,Swimming Pool,Multipurpose Court,Theatre,Golf Course,Banquet Hall,Sun Deck,Party Lawn,Gazebo,Barbecue,Amphitheatre,Jogging Track,Mini Theatre,Card Room,Indoor Games,Cycling Track,Gaming Zones,Art Gallery,Golf Putty,Fire NOC,CCTV Camera Security,Security Cabin,Fire Fighting Systems,Smoke Detectors,Gas Leak Detectors,24x7 Security,Video Door Security,Biometric/Smart Card Access,Fire Alarm,Emergency Exits,Boom Barrier,Intercom Facilities,Signage and Road Markings,Ambulance Service,Panic Buttons in Apartments,Emergency Evacuation Chairs,Rooftop Lounge,Bar/Chill-Out Lounge,Lounge,Business Lounge,Conference Room,Waiting Lounge,Food Court,Restaurant,Cafeteria,Smart Home Automation,Piped Gas,RO System,Wi-Fi Connectivity,Wi-Fi Zones in Common Areas,DTH Television,Laundry,Laundromat,Changing Area,Salon,Automated Car Wash,Car wash area,Milk Booth,Letter Box,Name Plates,Shopping Centre,Grocery Shop,Bus Shelter,Petrol Pump,Toilet for drivers,Concierge Service,Lift(s),Property Staff,Entrance Lobby,Intercom,ATM,Maintenance Staff,DG Availability,Escalators,Power Back up Lift,24/7 Power Backup,Underground Electric Cabling,Centralized Air Conditioning,Power Substation,Air Purification Systems,Noise Insulation in Apartments,Plumber/Electrician on Call,Secretarial Services,Braille Signage,Waste Management,Garbage Disposal,Sewage Treatment Plant,Garbage Chute,Waste Segregation and Disposal,Recycling Facilities,Organic Waste Converter,Composting Facilities,24/7 Water Supply,Water Softener Plant,Rain Water Harvesting,Borewell Water Supply,Municipal Water Supply,Smart Water Meters,Greywater Recycling,Low Flow Fixtures,Bioswales,Ground Water Recharging Systems,Water Treatment Plant",192,Not found,Not found,Not found,Not found,"3 BHK,4 BHK",None
r383654,THE PROMENADE BOUTIQUE VILLAS,ODPL/BRICKSTONE,"The Promenade Villas, Next to RR Kollur County, Kollur Village, Tellapur Municipality, Hyderabad – 502300",Residential - Villas,"Gated Community,Pet Park,Tennis Court,Indoor Games,Co-Working Spaces,Swimming Pool,Volleyball Court,Children's Play Area,Club House,Sewage Treatment Plant,Rain Water Harvesting,24/7 Water Supply,24/7 Security,Landscape Garden,Park,Party Lawn,Gymnasium,Intercom",19,Not found,14 acres,Not found,121,4BHK,3852~4086 sq. ft.
r383870,TATVA INTEGRITY,Tatva Associates,"F.P. No. 212, Opp. Pandav Van Farm, Vavol, Gandhinagar - 382016",Residential - Apartments,"Gated Community,Children's Play Area,Club House,Landscaped Garden,24x7 Security,Car Parking,Power Back up Lift,Gymnasium,Senior Citizen Sitout,Jogging Track,Community Hall,Intercom Facilities,Fire Fighting Systems,CCTV Camera Security,Rain Water Harvesting,24/7 Water Supply",16,PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/MAA09436/081221,Not found,Not found,Not found,3BHK,80.66~83.91 sq.mt
r384996,PRARTHANA ECO VILLE,Prarthana Group,"Plot No.841, Mouza-Bariatu, Thana No.193, Beside Birla Niwas, Cheshire Home Road, Bariatu; Pin-834009.",Residential - Apartments,"Earthquake Resistant,Vastu Compliant,Solar Lighting,Creche/Day care,Community Hall,Carrom,Billiards,Pool Table,Table Tennis,Badminton Court,Gymnasium,Landscape Garden,Manicured Garden,Park,Club House,Children's Play Area,Swimming Pool,Indoor Games,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Lift(s),Society Office,Rain Water Harvesting,24/7 Water Supply,24/7 Power Backup",27,JHRERA/ PROJECT/5/2022,Not found,Not found,Not found,3BHK,1695~2088 sq.ft
r385318,Sterling's Eutopia,Sterling Heights,"Maheshwaram, ORR Exit number 15, Hyderabad, Telangana",Residential - Villa plots,"Gated Community,Internal Street Lights,Vastu Compliant,Creche/Day care,Community Hall,Pet Park,Landscape Garden,Open Space,Park,Club House,Children's Play Area,Swimming Pool,Jogging Track,24x7 Security,Car Parking",16,Not found,70 acres,Not found,Not found,None,None
r385582,THE SAPPHIRE,SAMAY'S MILESTONE,"Infront of Bebbco Toyota Showroom, Towards Anandpur Road, Near Forest Nursery, Satbohni, Adityapur.",Residential - Apartments,"Anti-termite Treatment,Earthquake Resistant,Basketball Court,Gymnasium,Indoor Games,Yoga/Meditation Area,Fountain,Party Lawn,Children's Play Area,Jogging Track,Swimming Pool,Club House",12,Not found,Not found,Not found,Not found,"1 BHK,2 BHK,3 BHK,4 BHK",321.50~2174.49 sqft
r386335,Gaondevi Crown Gold Class,SONAWANE GROUP,"48/3 at Tisgaon, Next To Registration Office, Off 100 Feet Road, Kalyan - East, Kalyan, Thane - 421 306 (Maharashtra)",Residential - Apartments,"Gated Community,Vastu Compliant,Car Parking,Club House,Children's Play Area,Jogging Track,Swimming Pool,Indoor Games,CCTV Camera Security,24x7 Security,Intercom Facilities,24/7 Power Backup,Rain Water Harvesting,Gymnasium,Society Office,Barbecue,Jacuzzi,Sit Out Area",18,P51700031502,Not found,Not found,Not found,None,None
r387922,SHREE AARNA SKY WAVES,Shree Hari Reality,"Shree Aarna Sky Waves, 24 Mtr. Gotri Road, Opp. Sepal Residency, New Alkapuri, Vadodara",Residential - Apartments,"Gated Community,Private Gardens/Balconies,Landscape Garden,Park,Gazebo,Children's Play Area,Swimming Pool,Gymnasium,Banquet Hall,Terrace Garden,CCTV Camera Security,24x7 Security,Car Parking,Lift(s),Fire Fighting Systems,Intercom,24/7 Power Backup",17,PR/GA/VADODARA/VADODARA/Others/MAA09797/090222,Not found,3,Not found,"3 BHK,4 BHK",1116~1565 sq.ft
r388561,Vishwakarma Heights,CHANDALIYA BUILDERS,"Gut No.12, Nath Valley Road, Kanchanwadi, Aurangabad, Maharashtra","Residential - Apartments, Commercial - Retail spaces","Lift(s),Car Parking",2,Not found,Not found,Not found,Not found,"2BHK,3BHK",None
r389479,Kulkarni Wada,ACDISH UNIVERSAL GROUP,"640 / 639 Sadashiv Peth, Pune - 30.",Commercial - Retail spaces,Lift(s),1,P52100034429,Not found,Not found,Not found,"1BHK,2BHK",408~1085 sq ft
r390029,AASTHA OMKAR,AASTHA OMKAR,"Titwala–Kalyan Road, Near Gaon Devi Mandir & MRF Tyre Showroom, Titwala – 421605",Residential - Apartments,"Temple,Indoor Games,Gymnasium,Swimming Pool",4,P51700035044,Not found,Not found,Not found,"1BHK,2BHK",None
r390427,HUMMING SANJEEVA,M/s Shankhanil Realtors Pvt. Ltd.,"vidhan sabha road, behind shanti sarovar
kachna, chhattisgarh 492014",Residential - Villas,"Temple,Amphitheatre,Senior Citizen Sitout,Children's Play Area,Landscaped Garden,Park,Security Cabin,24x7 Security",8,PCGRERA070522001417,Not found,Not found,Not found,None,2521.36~5463.38 sq.ft
r390766,SANSKAR AYODHAPURAM,GALA DEVELOPERS,"TILHARI BARELA- NH- 30, 6 Lane road, new ring road, jabalpur (M.P.)",Residential - Single-family homes,"Temple,Children's Play Area,CCTV Camera Security,24/7 Water Supply,Solar Lighting,Outdoor Sitting,Football Ground,Cricket Pitch,Landscape Garden",9,Not found,Not found,Not found,Not found,"2 BHK,3 BHK",None
r390771,HP SQUARE,Harshpriya Constructions,"Shatabdi Nagar, Delta Square, Unit 8
Bhubaneswar, 751003, Odisha",Residential - Apartments,"Jacuzzi,Jogging Track,Children's Play Area,Party Lawn,Barbecue,Swimming Pool,Gymnasium,Indoor Games,Banquet Hall,Solar Water Heating",10,MP/19/2023/00951,Not found,3,Not found,"2BHK,3BHK,3.5BHK,4.5BHK",None
r390922,Basera Garden,Skyland Structures,"S. No. 35, H. No. 5, Opposite to Vitthal Mandir, Waliv, Vasai East - 401208",Residential - Apartments,"Vastu Compliant,Senior Citizen Sitout,Jogging Track,Yoga/Meditation Area,Children's Play Area,Club House,CCTV Camera Security,Fire Fighting Systems,24x7 Security,Video Door Security,Rain Water Harvesting,Municipal Water Supply,Property Staff,Lift(s),Sewage Treatment Plant,Landscape Garden,School,ATM,Car Parking,Fire Alarm,Intercom,Petrol Pump",22,P99000045304,Not found,3,Not found,"1BHK,2BHK",None
r393185,Ashiana Advik,Ashiana Housing Limited,"Ashiana Town Complex, Sector - 39, Thada, Off. Alwar Road, Bhiwadi, Rajasthan","Residential - Apartments, Residential - Villas","Gated Community,Private Gardens/Balconies,Gymnasium,Landscape Garden,Manicured Garden,Flower Garden,Fountain,Park,Club House,Children's Play Area,Swimming Pool,Amphitheatre,Jogging Track,Card Room,Indoor Games,Cycling Track,CCTV Camera Security,24x7 Security,Intercom Facilities,Lift(s),Maintenance Staff,Plumber/Electrician on Call,24/7 Water Supply,Pet Park,Acupressure Park,Jacuzzi,Doctor on Call,Sauna,Steam Room,Badminton Court,Lawn Tennis Court,Multi purpose Hall,Senior Citizen Sitout,Sit Out Area",37,RAJ/P/2022/2012,Not found,Not found,Not found,"1BHK,2BHK,3BHK",896~2495 sq ft
r393291,Shree Siddheshwar Highness,Nyal Karan Group,"Shree Siddheshwar Highness,
Nr. Rudraksh Billis & Shree Ambe Vidhyalay,
Vaikunth Char Rasta, Waghodia Road, Bapod,
Vadodara",Residential - Apartments,"Gated Community,Earthquake Resistant,Car Parking,24x7 Security,Landscape Garden,Club House,Swimming Pool,Children's Play Area,Jogging Track,Senior Citizen Sitout,Badminton Court,Indoor Games,Gymnasium,Party Lawn,Temple",16,Not found,Not found,6,Not found,"3BHK,4BHK,PENTHOUSE",866~1280 sq.ft
r393669,Balewadi Riverside,Majestique Landmarks,Balewadi Riverside,Residential - Apartments,"Gated Community,Well-Maintained Internal Roads,Temple,Children's Play Area,Swimming Pool,Badminton Court,Gymnasium,Spa,Acupressure Park,Senior Citizen Sitout,Park,Co-Working Spaces,CCTV Camera Security,24x7 Security,Landscape Garden,Private Gardens/Balconies",16,Not found,8+ ACRES OF LAND PARCEL,Not found,Not found,"2BHK,3BHK,4BHK,Duplex",758~1740 sq.ft
